"№ организации п/п","№ торгового объекта организации п/п","Полное наименование организации розничной торговли","Сокращеенное наименование лицензиата розничной торговли",ИНН,ОГРН,"Адрес организации розничной торговли","Адрес обособленного подразделения организации розничной торговли","КПП обособленного подразделения","Приказ Минпромторга России о включении организации розничной торговли в Перечень","Дата включения организации розничной торговли в Перечень"
48,5,"Общество с ограниченной ответственностью ""Бершка СНГ""","ООО ""Бершка СНГ""",7717555224,1067746458823,,"Калининградская область, г. Калининград, ул. Театральная, д. 30",390632002,"от 25.05.2018 №2007",28.05.2018
48,6,"Общество с ограниченной ответственностью ""Бершка СНГ""","ООО ""Бершка СНГ""",7717555224,1067746458823,,"Московская область, г. Красногорск, ул. Международная, д. 12",502445002,"от 08.05.2018 №1805",10.05.2018
48,7,"Общество с ограниченной ответственностью ""Бершка СНГ""","ООО ""Бершка СНГ""",7717555224,1067746458823,,"Ростовская область, г. Ростов-на-Дону, просп. Михаила Нагибина, 32/2",616132001,"от 25.05.2018 №2007",28.05.2018
48,8,"Общество с ограниченной ответственностью ""Бершка СНГ""","ООО ""Бершка СНГ""",7717555224,1067746458823,,"Самарская область, г. Самара, Московское шоссе, 24 км, д. 5",631345001,"от 25.05.2018 №2007",28.05.2018
48,9,"Общество с ограниченной ответственностью ""Бершка СНГ""","ООО ""Бершка СНГ""",7717555224,1067746458823,,"Самарская область, г. Самара, ул. Ново-Садовая, 160М",631645001,"от 25.05.2018 №2007",28.05.2018
48,10,"Общество с ограниченной ответственностью ""Бершка СНГ""","ООО ""Бершка СНГ""",7717555224,1067746458823,,"Свердловская область, г. Екатеринбург, ул. 8 Марта, д. 46",667145001,"от 25.05.2018 №2007",28.05.2018
49,1,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"Республика Мордовия, г. Саранск, ул. Волгоградская, д. 71",132845001,"от 13.07.2018 №2753",
49,2,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"г. Казань, пр. Ямашева, д. 46/33",165745001,"от 09.06.2018 №2296",13.06.2018
49,3,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"г. Казань, пр. Победы, д. 141",166032001,"от 09.06.2018 №2296",13.06.2018
49,4,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"г. Волгоград, ул. Рабоче-Крестьянская, д. 9Б",346045002,"от 09.06.2018 №2296",13.06.2018
49,5,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"г. Калининград, ул. Театральная, д. 30",390632003,"от 09.06.2018 №2296",13.06.2018
49,6,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"г. Красногорск, ул. Международная, д. 12",502445002,"от 09.06.2018 №2296",13.06.2018
49,7,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"г. Ростов-на-Дону, пр. Михаила Нагибина, д. 32/2",616132001,"от 09.06.2018 №2296",13.06.2018
49,8,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"г. Самара, Московское шоссе, 24 км, д.5",631345001,"от 09.06.2018 №2296",13.06.2018
49,9,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"г. Самара, ул. Ново-Садовая, д. 160М",631645001,"от 09.06.2018 №2296",13.06.2018
49,10,"Общество с ограниченной ответственностью ""Пулл энд Беар СНГ""","ООО ""Пул энд Беар СНГ""",7717555231,1067746459032,,"г. Екатеринбург, ул. 8 марта, д. 46",667145001,"от 09.06.2018 №2296",13.06.2018
